stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
btc;1;17465;None;Baseline;16;16;4105787680.328271;59663.388765625;59290.00741345761;100;100
btc;1;17465;None;Baseline;16;32;4105420269.983609;59660.85082450181;59287.49960521108;100;100
btc;1;17465;None;Baseline;16;64;4099292420.0419507;59618.05455548007;59245.18191519751;100;100
btc;1;17465;None;Baseline;32;16;4109513736.0289106;59697.99178075951;59324.04948824159;100;100
btc;1;17465;None;Baseline;32;32;4114299601.607067;59731.393986473864;59357.07885838819;100;100
btc;1;17465;None;Baseline;32;64;4094300287.7466874;59591.90582376679;59219.163963572144;100;100
btc;1;17465;None;Baseline;64;16;4120569404.362508;59792.63496125541;59417.33022976409;100;100
btc;1;17465;None;Baseline;64;32;4110750189.926556;59724.21428115644;59349.68044883825;100;100
btc;1;17465;None;Baseline;64;64;4106432167.563703;59694.16120263995;59319.97002473367;100;100
eth;1;17464;None;Baseline;16;16;6763310.501475814;2513.3361917818943;2505.2665459074487;100;100
eth;1;17464;None;Baseline;16;32;6504954.534488194;2463.7646603904686;2456.257384050554;100;100
eth;1;17464;None;Baseline;16;64;6008968.316597891;2364.9662403577972;2358.5679645284717;100;100
eth;1;17464;None;Baseline;32;16;6778828.614394505;2516.2957672294456;2508.2156854273258;100;100
eth;1;17464;None;Baseline;32;32;6623876.75328419;2486.751711513192;2479.0038162098394;100;100
eth;1;17464;None;Baseline;32;64;6048503.158501606;2372.993916247398;2366.536195724368;100;100
eth;1;17464;None;Baseline;64;16;6858843.663031609;2531.482008591661;2523.2587915880927;100;100
eth;1;17464;None;Baseline;64;32;6657323.612054598;2493.250312957311;2485.4646551443516;100;100
eth;1;17464;None;Baseline;64;64;6388079.932234195;2440.992461893851;2433.793622864471;100;100
btc;1;17465;ADWIN;increase_lr_only;16;16;4097950283.986475;59608.7853823596;59236.02330071745;100;100
btc;1;17465;ADWIN;increase_lr_only;16;32;4093284218.410224;59576.13656476449;59203.73749760463;100;100
btc;1;17465;ADWIN;increase_lr_only;16;64;4086388014.288039;59527.976019474634;59156.12114624674;100;100
btc;1;17465;ADWIN;increase_lr_only;32;16;4109874293.316813;59700.56219899617;59326.594663430165;100;100
btc;1;17465;ADWIN;increase_lr_only;32;32;4095714591.8549876;59601.88214385445;59229.03289491374;100;100
btc;1;17465;ADWIN;increase_lr_only;32;64;4088267255.563586;59549.822648566245;59177.557677294855;100;100
btc;1;17465;ADWIN;increase_lr_only;64;16;4110767137.833458;59724.357090790676;59349.8232304582;100;100
btc;1;17465;ADWIN;increase_lr_only;64;32;4089189672.8620195;59573.801215429165;59200.96981843267;100;100
btc;1;17465;ADWIN;increase_lr_only;64;64;4076389209.789782;59484.380016222676;59112.56556488312;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;16;4110574327.3219094;59696.74310563859;59322.98521405238;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;32;4106061042.748123;59665.30776788949;59291.90498000423;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;64;4090701355.152043;59558.07533491848;59185.87509402401;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;16;4108145782.443871;59688.56224432807;59314.732293929796;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;32;4106137429.795904;59674.41391324471;59300.73371129826;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;64;4090209067.4706593;59563.39415816845;59190.97238624305;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;16;4118081893.478306;59775.342429523094;59400.233924684646;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;32;4105835119.1366014;59690.05338643853;59315.90873896884;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;64;4098041531.8144937;59635.63358503008;59262.09909553061;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;16;4100716864.432804;59628.01641293025;59255.0329386265;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;32;4086543812.452748;59529.110128736414;59157.24488330277;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;64;4063462861.376583;59367.605085371375;58997.56192455065;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;16;4107191927.6406813;59681.88092113972;59308.12503271454;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;32;4087011933.343888;59541.086020457384;59168.921668965646;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;64;4078041891.0342455;59478.32188993686;59106.86614489223;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;16;4110149570.861445;59720.0868628557;59345.6034010258;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;32;4111417595.6636977;59728.90400541634;59354.31965161844;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;64;4089881917.223148;59578.71634975221;59205.834413476594;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;16;16;4108097153.899937;59679.495898097826;59305.9336001302;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;16;32;4100773385.7454295;59628.502053555254;59255.51916567569;100;100
