stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
btc;1;17465;ADWIN;increase_lr_only;16;[16];881577.2351437821;534.4051006567029;552.3316123954095;354.32276246215434;355.30413378471525
btc;1;17465;ADWIN;increase_lr_only;16;[32, 32];1226658.1732950658;614.5718028759057;633.3054702499069;243.3966579054601;247.47100296143617
btc;1;17465;ADWIN;increase_lr_only;16;[64, 64];1090792.3463602217;616.3971608922102;629.2923766225858;117.50986374070216;134.59017548460304
btc;1;17465;ADWIN;increase_lr_only;32;[16];1218097.8871213095;554.4621142028476;580.8612180495504;222.1529115199607;258.4224275056832
btc;1;17465;ADWIN;increase_lr_only;32;[32, 32];1080050.7346561349;571.0809919028156;588.5405769477248;88.33154212232182;106.42772257530206
btc;1;17465;ADWIN;increase_lr_only;32;[64, 64];1039876.0916905667;591.2031648920738;604.45087027387;157.5104741239845;241.3956990932546
btc;1;17465;ADWIN;increase_lr_only;64;[16];981749.3031487113;550.1243480500087;567.866863232537;229.56098705565935;240.8514175294881
btc;1;17465;ADWIN;increase_lr_only;64;[32, 32];970029.278287378;575.4986874709336;587.4434612908382;89.62875245499467;152.82361538376003
btc;1;17465;ADWIN;increase_lr_only;64;[64, 64];991516.3204255451;568.2588880698829;581.9142762651034;277.7681158816175;364.8427694151443
btc;1;17465;ADWIN;increase_and_decay_lr;16;[16];919317.1300598519;601.5395999773551;605.4026167554373;201.07626834048602;201.07626834048602
btc;1;17465;ADWIN;increase_and_decay_lr;16;[32, 32];1990843.783208428;587.8632126358696;639.9295924126203;188.75900409727075;188.75900409727075
btc;1;17465;ADWIN;increase_and_decay_lr;16;[64, 64];1108316.1084880223;536.5748644701087;557.3742332005953;229.55431409209007;239.63464019271282
btc;1;17465;ADWIN;increase_and_decay_lr;32;[16];2236678.2474296247;547.5076806974948;619.4882917253735;170.08919411827014;171.0123155159408
btc;1;17465;ADWIN;increase_and_decay_lr;32;[32, 32];1256651.0079592813;560.6315741457656;587.9123640330121;353.22622291994173;364.576464235215
btc;1;17465;ADWIN;increase_and_decay_lr;32;[64, 64];1040799.0245069052;571.5876035607303;585.4173655477399;114.44795775628393;132.93905506481258
btc;1;17465;ADWIN;increase_and_decay_lr;64;[16];794189.0498118916;522.6572127105496;532.4136865450441;361.161330830178;363.66594149146226
btc;1;17465;ADWIN;increase_and_decay_lr;64;[32, 32];887278.0366066557;552.3419034896015;563.3165351039452;225.14557452922364;225.14557452922364
btc;1;17465;ADWIN;increase_and_decay_lr;64;[64, 64];882576.778263792;566.9835543287118;574.1872065429968;115.65052247926799;125.66926520775137
btc;1;17465;PageHinkley;increase_lr_only;16;[16];1087965.9897572082;494.04556329257247;526.5608661648769;271.42557774652914;271.42557774652914
btc;1;17465;PageHinkley;increase_lr_only;16;[32, 32];1347733.1086706875;588.0888554121377;615.4313707536965;189.75085341289088;201.6218611932202
btc;1;17465;PageHinkley;increase_lr_only;16;[64, 64];1106431.2855206712;582.7401682518116;600.3211078424085;118.3744938493658;162.85301641762237
btc;1;17465;PageHinkley;increase_lr_only;32;[16];833298.8216412626;563.1330595588662;568.0808584563041;360.17760440322513;384.26633040015867
btc;1;17465;PageHinkley;increase_lr_only;32;[32, 32];1346416.8269847203;547.5360813607912;582.4104807064906;156.99072526505654;174.92348680734423
btc;1;17465;PageHinkley;increase_lr_only;32;[64, 64];1193073.9371385816;606.72265160348;624.1318352092654;130.63324420863322;177.51896390741737
btc;1;17465;PageHinkley;increase_lr_only;64;[16];1692606.404213586;553.1293328219466;588.2536277773188;248.84098446231326;248.84098446231326
btc;1;17465;PageHinkley;increase_lr_only;64;[32, 32];1318306.839481573;568.7201920788643;598.247781478525;89.65283487930036;125.13984007421708
btc;1;17465;PageHinkley;increase_lr_only;64;[64, 64];1006697.6613211076;566.2322462277278;580.8510360283713;245.31714986927517;311.29483982145865
btc;1;17465;PageHinkley;increase_and_decay_lr;16;[16];2162594.8306257552;603.782923460145;668.2394524645932;219.80424118270864;219.80424118270864
btc;1;17465;PageHinkley;increase_and_decay_lr;16;[32, 32];1722582.929317021;614.0937231657608;652.60495615123;145.41235658619;149.77919093877
btc;1;17465;PageHinkley;increase_and_decay_lr;16;[64, 64];945683.7849862027;571.2733693387681;582.6768982328858;288.1902261162253;295.8553083458749
btc;1;17465;PageHinkley;increase_and_decay_lr;32;[16];1089040.9226998638;583.1980512268626;601.9909735330443;187.76243023031512;189.41086510436233
btc;1;17465;PageHinkley;increase_and_decay_lr;32;[32, 32];1354923.7538055447;526.2651462951143;558.8342295659633;326.15466118008584;326.15466118008584
btc;1;17465;PageHinkley;increase_and_decay_lr;32;[64, 64];821743.8382967043;560.16113745902;566.7574533123243;180.3805831775732;214.21156630032968
btc;1;17465;PageHinkley;increase_and_decay_lr;64;[16];1944203.3238652006;551.1404701306534;607.9806798212926;155.3032630861536;193.50293186453646
btc;1;17465;PageHinkley;increase_and_decay_lr;64;[32, 32];1057638.195365523;558.103060213747;576.9211868997292;194.39726597492336;207.44097206761188
btc;1;17465;PageHinkley;increase_and_decay_lr;64;[64, 64];807238.9605377149;550.5933823556127;557.7026399457108;161.77346433956663;163.27428771464574
eth;1;17464;ADWIN;increase_lr_only;16;[16];7441.477942573224;31.63460731362597;35.3209644616716;88.11353805700351;160.7676468489912
eth;1;17464;ADWIN;increase_lr_only;16;[32, 32];4792.434336489004;27.04218498485193;29.39616283852264;236.1609373417944;236.1609373417944
eth;1;17464;ADWIN;increase_lr_only;16;[64, 64];3540.9067692601716;30.856283986345222;32.10620479592485;180.6954205539038;197.9099808844677
eth;1;17464;ADWIN;increase_lr_only;32;[16];4005.730599783501;28.20862082746629;29.7951670520182;80.00873975020639;171.05011855547892
eth;1;17464;ADWIN;increase_lr_only;32;[32, 32];3685.850391974732;28.346882035352774;29.925390039577895;133.04940036456074;166.8728719249748
eth;1;17464;ADWIN;increase_lr_only;32;[64, 64];3078.9979384822796;29.441690313347756;30.5044999562474;107.1735016311056;114.4310846133567
eth;1;17464;ADWIN;increase_lr_only;64;[16];2633.918798072768;29.128561549155936;29.88630732043036;214.27154180864133;223.63493649959761
eth;1;17464;ADWIN;increase_lr_only;64;[32, 32];3008.340116387045;28.71858899010232;29.74276007641321;134.41378522582724;159.22337212848458
eth;1;17464;ADWIN;increase_lr_only;64;[64, 64];2574.8991612995237;28.942756858192748;29.68963976629849;87.56658466009866;128.5099553621587
eth;1;17464;ADWIN;increase_and_decay_lr;16;[16];11113.480008950577;36.59356302697801;42.42272247846167;62.62920756786065;190.77700436650093
eth;1;17464;ADWIN;increase_and_decay_lr;16;[32, 32];4336.538736446717;29.39150530890151;31.324734222118266;122.28431700774291;227.02568120555839
eth;1;17464;ADWIN;increase_and_decay_lr;16;[64, 64];3091.7768648316564;28.73076469389983;29.639176768810582;190.79581993392247;247.61935153413012
eth;1;17464;ADWIN;increase_and_decay_lr;32;[16];3806.6318071281426;29.205583952130812;30.75230916107724;55.10971203959268;134.512243249212
eth;1;17464;ADWIN;increase_and_decay_lr;32;[32, 32];4735.5738988974435;28.509813375013145;30.728881972489308;139.09955573477467;227.89393644397518
eth;1;17464;ADWIN;increase_and_decay_lr;32;[64, 64];2816.8790929701486;29.553898353291107;30.289806381722773;176.3984579707982;214.00807072303655
eth;1;17464;ADWIN;increase_and_decay_lr;64;[16];3732.005110888118;27.32615145070145;28.93096342240257;126.41389639507494;209.4573145746259
eth;1;17464;ADWIN;increase_and_decay_lr;64;[32, 32];3294.4312402034593;28.161444584662593;29.34941833145317;177.83221994594282;252.0512298192091
eth;1;17464;ADWIN;increase_and_decay_lr;64;[64, 64];2755.920112645998;28.62709779829752;29.454990595675064;230.3833153895683;268.3043140116177
eth;1;17464;PageHinkley;increase_lr_only;16;[16];4217.007800199489;36.031448260757415;37.36416823270396;93.0522965414383;187.8644126233146
eth;1;17464;PageHinkley;increase_lr_only;16;[32, 32];4224.496075682371;28.5904384544258;30.523427124583137;418.4109981353223;418.4109981353223
eth;1;17464;PageHinkley;increase_lr_only;16;[64, 64];2495.4026139186167;28.62489223928063;29.346016325463072;109.68797935007088;112.25124495100975
eth;1;17464;PageHinkley;increase_lr_only;32;[16];3898.957646649972;29.475392500716286;31.06937908086825;104.64080454903186;214.2724851768561
eth;1;17464;PageHinkley;increase_lr_only;32;[32, 32];4171.813409032256;27.85219611384453;29.735813335192866;163.22780420383705;163.22780420383705
eth;1;17464;PageHinkley;increase_lr_only;32;[64, 64];2682.6437036153434;29.570382556019883;30.37446049431586;123.74653442443334;145.5798422787171
eth;1;17464;PageHinkley;increase_lr_only;64;[16];3141.4228170725205;28.479027971154927;29.527728899374775;302.0940594039712;302.0940594039712
eth;1;17464;PageHinkley;increase_lr_only;64;[32, 32];2383.63948611807;28.580207135883725;29.216609370790678;148.7032971218626;148.7032971218626
eth;1;17464;PageHinkley;increase_lr_only;64;[64, 64];2428.024053162602;29.45211085338425;30.10578309157799;99.83420976701034;127.34346370262985
eth;1;17464;PageHinkley;increase_and_decay_lr;16;[16];9775.574640608911;37.25750958530431;41.7106093660728;60.581825143839986;186.73382973462049
eth;1;17464;PageHinkley;increase_and_decay_lr;16;[32, 32];4596.228173135655;30.553579865306958;32.56244130508444;143.48029175691903;270.55230510070425
eth;1;17464;PageHinkley;increase_and_decay_lr;16;[64, 64];3167.1880278530643;29.847499375246844;30.725298647594144;141.21989889993907;228.12520880892757
eth;1;17464;PageHinkley;increase_and_decay_lr;32;[16];5606.240377482179;30.33165585173613;32.55826152995837;95.43686421467847;198.78634745853304
eth;1;17464;PageHinkley;increase_and_decay_lr;32;[32, 32];3298.061830878449;29.342473046636993;30.51498465955996;133.2021349591487;201.34379932278654
eth;1;17464;PageHinkley;increase_and_decay_lr;32;[64, 64];3372.1937836223965;29.165562223006006;30.37429871193692;127.8518534256472;153.4103243123596
eth;1;17464;PageHinkley;increase_and_decay_lr;64;[16];4082.9295794953396;28.17168170012372;30.211045384900324;83.60531548439195;170.77489158870114
