stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
btc;1;17465;ADWIN;increase_lr_only;16;64;1667057429.3559515;39406.81031736866;39264.3740229338;100;100
btc;1;17465;ADWIN;increase_lr_only;16;64;652441108.1773058;23447.044317368658;23486.542944124663;115.26138136566277;115.26138136566277
btc;1;17465;ADWIN;increase_lr_only;16;64;223493316.04238915;11401.876422327898;11578.61000708762;125.65721403377485;127.62042443305178
btc;1;17465;ADWIN;increase_lr_only;32;64;1678448309.6820972;39540.46233213597;39396.55686312866;100;100
btc;1;17465;ADWIN;increase_lr_only;32;64;658873728.9895798;23584.835051601305;23622.97181385071;117.77092202802999;117.77092202802999
btc;1;17465;ADWIN;increase_lr_only;32;64;224118313.89048046;11424.30921389042;11601.122156188156;95.80676910966962;103.9280833237098
btc;1;17465;ADWIN;increase_lr_only;64;64;1682892889.8467903;39598.49693360965;39454.07067504202;100;100
btc;1;17465;ADWIN;increase_lr_only;64;64;661384037.9612788;23625.19634015576;23663.344171581375;115.37795041950183;116.73119431505124
btc;1;17465;ADWIN;increase_lr_only;64;64;227970980.57985675;11569.259176122327;11745.142101432748;101.63420229292905;106.78564991846454
btc;1;17465;ADWIN;increase_and_decay_lr;16;64;3193420124.095593;53297.44592504529;52996.61365678639;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;64;2430220569.0256176;47064.3945698596;46834.61253868417;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;64;1347228956.0378246;35456.96792312047;35359.49499557192;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;64;3197509264.9132104;53336.82232772971;53035.44771533783;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;64;2437097441.154592;47132.73618782276;46902.14163668581;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;64;1348425204.126427;35473.98922302027;35376.41339935844;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;64;3216021364.940406;53493.49875025887;53190.17455320905;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;64;2447612294.3040056;47240.579391999294;47008.74111165935;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;64;1360012235.8292053;35630.99023244481;35531.84008024413;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;64;1693789577.2686114;39711.444805593295;39565.52916277885;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;64;650798466.7821944;23411.90601098279;23451.81276975937;114.75071479079617;117.92806912358294
btc;1;17465;PageHinkley;increase_lr_only;16;64;223775352.49976537;11422.11722339221;11598.6271981471;125.1778802080671;125.1778802080671
btc;1;17465;PageHinkley;increase_lr_only;32;64;1678565760.027534;39541.6340088089;39397.690298661306;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;64;672005827.8578885;23879.732104098366;23914.51862667068;105.34218202637881;111.34111842997514
btc;1;17465;PageHinkley;increase_lr_only;32;64;226187652.8520794;11507.558925522859;11683.447510479855;117.10820492128072;135.3419774192199
btc;1;17465;PageHinkley;increase_lr_only;64;64;1681891550.6685822;39586.55324576176;39442.2509576497;100;100
