stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_trend_drift;1;20000;ADWIN;increase_lr_only;16;[16];1.4829561735512051;0.9733301350586577;0.9717951106754623
generate_trend_drift;1;20000;ADWIN;increase_lr_only;16;[32, 32];1.6792096403914796;1.0375788594424982;1.0352225532528576
generate_trend_drift;1;20000;ADWIN;increase_lr_only;16;[64, 64];1.7361651655471824;1.0565660262909204;1.0538218801586126
generate_trend_drift;1;20000;ADWIN;increase_lr_only;32;[16];1.3790847761284044;0.9388695130538034;0.937544434161212
generate_trend_drift;1;20000;ADWIN;increase_lr_only;32;[32, 32];1.4702188242452767;0.9702185291737186;0.9690592912643646
generate_trend_drift;1;20000;ADWIN;increase_lr_only;32;[64, 64];1.3284896779308915;0.9209912971526685;0.9199814861103033
generate_trend_drift;1;20000;ADWIN;increase_lr_only;64;[16];1.4397625294314447;0.9603545298636512;0.9602330849023109
generate_trend_drift;1;20000;ADWIN;increase_lr_only;64;[32, 32];1.4044987400584852;0.9472188252098577;0.9465808095739344
generate_trend_drift;1;20000;ADWIN;increase_lr_only;64;[64, 64];1.5216131633693208;0.985478509539691;0.9845098948665262
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;16;[16];1.4131296810388756;0.9480966501233552;0.9477945788960316
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;16;[32, 32];1.4884452033799398;0.9740931744824946;0.9729594625387225
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;16;[64, 64];1.6183765655721585;1.018234686276694;1.0159560440086184
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;32;[16];1.2489068368465939;0.8919644955287688;0.8911558067857419
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;32;[32, 32];1.3656020790583265;0.9327896801279302;0.931890046839656
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;32;[64, 64];1.4232121460738523;0.9531261998717403;0.9518644055314303
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;64;[16];1.2772491132512178;0.901827212313047;0.9014322921337731
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;64;[32, 32];1.353783053784029;0.9291080908855781;0.9287592932887608
generate_trend_drift;1;20000;ADWIN;increase_and_decay_lr;64;[64, 64];1.4401669429439123;0.9595525077624228;0.9589273678901251
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;16;[16];1.4859882205291441;0.9740452657120681;0.9724876602755201
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;16;[32, 32];1.6690811037620599;1.0343905757164635;1.032044916532097
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;16;[64, 64];1.6526632447565837;1.0293215444360926;1.0272578966253556
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;32;[16];1.364893347380942;0.9326674815308216;0.9314287817881753
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;32;[32, 32];1.515942861040489;0.9838758929376749;0.9825695108305902
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;32;[64, 64];1.5571904778103784;0.9974515069036963;0.9958639490315153
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;64;[16];1.4384517628242994;0.9588350838378382;0.9585552702016567
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;64;[32, 32];1.4737107242172531;0.9711585281866085;0.9707488538230206
generate_trend_drift;1;20000;PageHinkley;increase_lr_only;64;[64, 64];1.5711374695528189;1.0028311676570043;1.0019590117453625
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;16;[16];1.4099647148538634;0.9488030649599235;0.9473768780397563
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;16;[32, 32];1.5468751610352385;0.9949239572491765;0.993153221062269
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;16;[64, 64];1.6322411880686114;1.0217148880600657;1.0194394964962643
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;32;[16];1.3018435806162612;0.9099376818630727;0.9093037260508237
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;32;[32, 32];1.3505302768631415;0.926932457178519;0.9262410444278384
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;32;[64, 64];1.445907820587139;0.9603371780338005;0.9590492800493032
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;64;[16];1.3361283837896105;0.921890198680087;0.921706955591411
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;64;[32, 32];1.3088508073839635;0.9124522241058094;0.9124853677489312
generate_trend_drift;1;20000;PageHinkley;increase_and_decay_lr;64;[64, 64];1.4004815071090795;0.9453672875192092;0.944813351009346
generate_trend_drift;1;50000;ADWIN;increase_lr_only;16;[16];1.3506780796304236;0.9280209772005202;0.9278274817999199
generate_trend_drift;1;50000;ADWIN;increase_lr_only;16;[32, 32];1.5583460333034418;0.9979277366781086;0.9971181203473465
generate_trend_drift;1;50000;ADWIN;increase_lr_only;16;[64, 64];1.624421311666642;1.0193171340346252;1.018424940410964
generate_trend_drift;1;50000;ADWIN;increase_lr_only;32;[16];1.3351555302765639;0.9226210173772221;0.9223514283128116
generate_trend_drift;1;50000;ADWIN;increase_lr_only;32;[32, 32];1.3830163893097167;0.9395356863661057;0.9391458858088735
generate_trend_drift;1;50000;ADWIN;increase_lr_only;32;[64, 64];1.4256038126007713;0.9535073641375575;0.9529975771601603
generate_trend_drift;1;50000;ADWIN;increase_lr_only;64;[16];1.3927060803853257;0.9432509156239057;0.9432163732242733
generate_trend_drift;1;50000;ADWIN;increase_lr_only;64;[32, 32];1.4556790981405117;0.9633260886996129;0.9631634550518244
generate_trend_drift;1;50000;ADWIN;increase_lr_only;64;[64, 64];1.4339350567814555;0.9556250637589101;0.9553584576354925
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;16;[16];1.2633191857068427;0.8973548983023854;0.8972026048771913
