stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;16;6939.595662910777;79.91746978361269;81.97814334162508
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;32;4419.9969247392955;58.6524840949947;63.41923801967511
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;64;2497.3647779817647;33.62780507767869;41.69824763608817
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;16;7027.634759276768;81.30341332489867;82.58679491802327
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;32;5449.554111332569;68.8489730360423;71.82435501509114
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;64;2513.1612325655597;35.56707797147039;42.759183459297354
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;16;6747.2936283863855;78.8830903466068;80.76005617566283
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;32;4818.2298124763265;63.0634935881961;66.95376087581596
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;64;2528.739848741265;36.264569805391986;43.4184670670088
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;16;8891.112752469584;93.2841905619231;93.45314591304182
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;32;6776.027043720213;79.11645312096432;81.03576436743569
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;64;4260.433552504503;57.17831374165679;62.059630253825325
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;16;8420.880925903813;90.91043155195628;90.87872532501962
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;32;6459.130880069192;77.08182765110939;78.97767064177874
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;64;4276.176167191811;58.20361990087173;62.45605825683445
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;16;7880.186688797023;87.19117178276403;87.7682551212881
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;32;7019.509300725652;81.11926708126542;82.52851348541108
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;64;4276.391247860617;57.964052507770596;62.44093744936971
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;16;7543.4750492534695;84.25292184980054;85.70092383284157
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;32;4948.956326710149;63.381626681611294;67.63752470534449
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;64;2580.060529730933;35.822819024182905;43.38014393721145
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;16;7052.810492526632;81.19744073873316;82.70734147192205
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;32;4930.029830883236;64.16393119458867;67.82364482092626
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;64;2581.557278227905;36.59813975644089;43.733629618647804
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;16;6751.798411110113;79.12908689584305;80.82309545631028
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;32;5017.993356888476;65.02965788770078;68.60386072599215
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;64;2885.65599871157;40.52050890187126;47.44179712498307
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;16;8047.622183473727;87.93398183929501;88.76130322145578
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;32;6260.337370186949;75.09188572610998;77.62724475434032
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;64;4278.314032563481;57.30759261114079;62.19740879269073
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;16;8158.168460271891;89.01318304655982;89.3591505601568
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;32;6367.910785749506;76.52807297150217;78.37584541144881
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;64;4323.368211752003;58.28664734968224;62.68328045101227
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;16;8380.305574955735;90.35407177275093;90.61462517434181
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;32;7116.290672362841;81.75946251598756;83.11734239920429
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;64;4275.314487467968;57.87338244879424;62.389027934533814
generate_water_flow_data;1;1268;None;Baseline;16;16;8769.40590922444;92.56206579380452;92.79691845540421
generate_water_flow_data;1;1268;None;Baseline;16;32;7105.1901799941215;81.39163218513626;83.05578735918283
generate_water_flow_data;1;1268;None;Baseline;16;64;4304.5652397175945;57.88874913892175;62.60896354818497
generate_water_flow_data;1;1268;None;Baseline;32;16;8101.7623410332935;88.69771901390936;89.05343698837996
generate_water_flow_data;1;1268;None;Baseline;32;32;7038.473610556434;81.23849828861718;82.63328351634992
generate_water_flow_data;1;1268;None;Baseline;32;64;4495.2576744656735;60.103191120070456;64.22746878688775
generate_water_flow_data;1;1268;None;Baseline;64;16;8381.601611900964;90.37996589603709;90.60533738453127
generate_water_flow_data;1;1268;None;Baseline;64;32;7237.7500125621245;82.4800548876103;83.8338441436869
generate_water_flow_data;1;1268;None;Baseline;64;64;4402.17508841353;59.339332240849586;63.59880500378403
