stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;[16];428.76036983796007;2.9302701596860534;7.183783419977742
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;[32, 32];234.13922069094272;3.6906548379606443;5.686569267949357
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;[64, 64];256.5494486235115;3.54516490074078;5.910170567302277
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;[16];469.7276249658258;3.8436223511065903;8.762870706786616
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;[32, 32];383.8213199314688;4.669622332978501;8.242200116123582
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;[64, 64];267.1697677531041;3.409671078997385;6.443857694520919
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;[16];292.2712143643275;3.3351882384191107;6.899758887053328
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;[32, 32];300.2980679697776;2.949171091905281;6.525509256857178
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;[64, 64];292.71307509664734;2.8686521700958707;6.002987202615833
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;[16];435.749689541939;3.024485960305586;7.9607910073984165
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;[32, 32];218.4012164517128;3.490808250557663;5.455014808490254
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;[64, 64];238.24307260194317;3.5164929740449304;5.700402378655089
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;[16];358.34009707666195;3.6359625589192315;7.6142274152885365
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;[32, 32];344.61769083688455;3.785876635530301;7.481511077448774
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;[64, 64];338.1595952592832;4.453050294285685;7.7017195687710664
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;[16];315.16348507377046;2.909914762582352;7.202076984798393
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;[32, 32];300.84525853823044;2.9900795390949915;6.462520017180332
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;[64, 64];259.23404221484304;2.8602599803488054;5.82894123511457
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;[16];301.48061853271946;3.3767794675184;6.355068644014791
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;[32, 32];209.65500907925613;3.173188767428638;5.2827146974996255
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;[64, 64];206.17811323155203;3.0053510665893555;5.288329397908415
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;[16];276.75557065115595;4.163502629720601;7.194698955634651
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;[32, 32];340.20522395762066;4.258794317365037;7.736596116741884
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;[64, 64];173.7266035432704;2.7056870373143753;5.010616195240453
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;[16];249.5492544575652;2.729941966877648;6.193625090526188
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;[32, 32];298.1500374277045;3.416507383128304;6.777546876292688
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;[64, 64];311.81153680321427;3.0133723586352903;6.318173677026236
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;[16];250.38825327716432;3.4639035702204546;5.841640193622333
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;[32, 32];355.64133931072973;3.675956457994829;7.142726917998098
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;[64, 64];170.83518148523945;2.9854789183237163;4.711671324964529
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;[16];306.06165880441506;3.813421455390658;7.202257681047261
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;[32, 32];354.0042398701424;4.207769066526437;7.720869820480593
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;[64, 64];328.14101367234366;4.507144817620832;7.730849506785568
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;[16];284.162425078197;3.1345754139458957;6.668848033759285
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;[32, 32];338.458967316853;3.137216304190716;7.251332205395366
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;[64, 64];282.1010646196149;3.3776453483164013;6.703566180511171
generate_water_flow_data;1;1268;None;Baseline;16;[16];269.0671088816716;3.2580016191415524;6.103074709066568
generate_water_flow_data;1;1268;None;Baseline;16;[32, 32];342.07641966542553;3.1663022924352577;6.796934117143527
generate_water_flow_data;1;1268;None;Baseline;16;[64, 64];164.87199691245115;2.9073339826361067;4.828228849953356
generate_water_flow_data;1;1268;None;Baseline;32;[16];253.7260280521064;3.4190593211837075;6.236406330923432
generate_water_flow_data;1;1268;None;Baseline;32;[32, 32];397.68757851902376;3.9086839331955208;8.194055197694155
generate_water_flow_data;1;1268;None;Baseline;32;[64, 64];248.95198060849143;3.499233361725177;6.6048171620538705
generate_water_flow_data;1;1268;None;Baseline;64;[16];211.39267216713301;2.6901156107584634;5.576268587397578
generate_water_flow_data;1;1268;None;Baseline;64;[32, 32];281.64158266802104;3.156902837041599;6.556803121915292
generate_water_flow_data;1;1268;None;Baseline;64;[64, 64];245.47848088199376;2.9368455099229194;6.210960964823878
