timeseries,n_dim,n_points,detector,window_size,hidden_layer,train_loss,test_loss
generate_ar1_time_series,1,2000,ADWIN,16,[16],0.2452600632857606,0.6432211334975275
generate_ar1_time_series,1,2000,ADWIN,16,[32],0.24842710758804218,0.6790302953885718
generate_ar1_time_series,1,2000,ADWIN,16,[64],0.24208833830257442,0.6309897619840923
generate_ar1_time_series,1,2000,ADWIN,32,[16],0.2572083727568609,0.8137117808653999
generate_ar1_time_series,1,2000,ADWIN,32,[32],0.24524904016281376,0.6936837443895865
generate_ar1_time_series,1,2000,ADWIN,32,[64],0.23622964632601787,0.628164012100336
generate_ar1_time_series,1,2000,ADWIN,16,[16],0.2433477547030645,0.5496185437042119
generate_ar1_time_series,1,2000,ADWIN,16,[32],0.24527677098958203,0.5341742126062451
generate_ar1_time_series,1,2000,ADWIN,16,[64],0.23671085021055885,0.5089411012230172
generate_ar1_time_series,1,2000,ADWIN,32,[16],0.25209147002480387,0.6023236943343825
generate_ar1_time_series,1,2000,ADWIN,32,[32],0.23804280338009987,0.5727993065768929
generate_ar1_time_series,1,2000,ADWIN,32,[64],0.22892329942946482,0.5361088629220441
generate_ar1_time_series,1,2000,PageHinkley,16,[16],0.23895619722879768,0.529280480844813
generate_ar1_time_series,1,2000,PageHinkley,16,[32],0.2428786864868862,0.5723457100619614
generate_ar1_time_series,1,2000,PageHinkley,16,[64],0.23900356532687364,0.5495342059007196
generate_ar1_time_series,1,2000,PageHinkley,32,[16],0.2492377291343399,0.5971123184672301
generate_ar1_time_series,1,2000,PageHinkley,32,[32],0.23374559954223914,0.5518168645815609
generate_ar1_time_series,1,2000,PageHinkley,32,[64],0.22999660373740483,0.5495350986943522
generate_ar1_time_series,1,5000,ADWIN,16,[16],0.3031373342523479,0.5116685844562674
generate_ar1_time_series,1,5000,ADWIN,16,[32],0.3010587171117916,0.5069939952053762
generate_ar1_time_series,1,5000,ADWIN,16,[64],0.2996974579056379,0.4980856399675157
generate_ar1_time_series,1,5000,ADWIN,32,[16],0.30540758720440325,0.5219782702259836
generate_ar1_time_series,1,5000,ADWIN,32,[32],0.3033622187877275,0.5191387259531156
